Date,Open,High,Low,Close,Adj Close,Volume
2019-07-18,116.269997,117.599998,114.449997,116.000000,116.000000,598700
2019-07-19,117.370003,121.500000,116.712997,117.250000,117.250000,811300
2019-07-22,118.000000,119.910004,117.550003,117.779999,117.779999,762600
2019-07-23,118.860001,119.345001,115.820000,116.400002,116.400002,999000
2019-07-24,116.070000,121.254997,115.250000,120.610001,120.610001,1393500
2019-07-25,120.540001,122.800003,119.550003,121.370003,121.370003,801400
2019-07-26,122.129997,123.000000,120.660004,121.519997,121.519997,1145400
2019-07-29,122.519997,122.519997,114.688004,120.000000,120.000000,1422600
2019-07-30,119.580002,123.063004,119.000000,119.599998,119.599998,1025000
2019-07-31,120.050003,121.860001,114.250000,117.540001,117.540001,1936900
2019-08-01,123.250000,133.929993,122.010002,131.570007,131.570007,3198200
2019-08-02,130.360001,131.179993,128.009995,130.160004,130.160004,1309700
2019-08-05,125.239998,127.620003,122.860001,125.650002,125.650002,1802800
2019-08-06,126.379997,129.490005,123.230003,125.349998,125.349998,1010400
2019-08-07,121.230003,129.259995,120.449997,126.239998,126.239998,1480200
2019-08-08,129.000000,132.970001,126.330002,132.860001,132.860001,2395700
2019-08-09,132.130005,135.000000,130.570007,131.089996,131.089996,1348300
2019-08-12,130.009995,132.619995,128.509995,131.080002,131.080002,978700
2019-08-13,131.539993,136.339996,129.669998,135.330002,135.330002,1862500
2019-08-14,132.509995,133.820007,128.850006,131.929993,131.929993,1450400
2019-08-15,132.559998,134.380005,129.500000,131.250000,131.250000,1248400
2019-08-16,132.690002,134.750000,131.360001,133.770004,133.770004,753000
2019-08-19,135.149994,136.000000,131.574997,132.229996,132.229996,1111400
2019-08-20,132.339996,136.309998,131.649994,135.699997,135.699997,753500
2019-08-21,138.250000,143.130005,136.880005,142.649994,142.649994,1566200
2019-08-22,142.740005,144.339996,139.619995,142.300003,142.300003,1136500
2019-08-23,142.300003,144.669998,138.250000,139.029999,139.029999,1101300
2019-08-26,140.279999,140.429993,135.619995,139.940002,139.940002,972800
2019-08-27,140.929993,143.559998,138.229996,142.100006,142.100006,803800
2019-08-28,140.850006,142.369995,137.470001,141.919998,141.919998,1002400
2019-08-29,143.199997,144.966003,140.300003,143.970001,143.970001,893100
2019-08-30,144.750000,144.779999,138.606003,142.449997,142.449997,926700
2019-09-03,141.809998,143.949997,140.809998,142.889999,142.889999,1044400
2019-09-04,143.639999,146.789993,143.250000,145.119995,145.119995,1125000
2019-09-05,146.529999,147.240005,142.589996,147.190002,147.190002,1389900
2019-09-06,147.000000,147.789993,141.520004,142.070007,142.070007,1204900
2019-09-09,142.000000,142.000000,119.709999,120.480003,120.480003,4974200
2019-09-10,118.000000,119.989998,113.983002,115.949997,115.949997,3558700
2019-09-11,115.559998,118.900002,113.309998,115.019997,115.019997,2154155
